NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210055502556,2022,6,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1088.0,1058.0,1067.0,1077.0,439.6,527.4,564.3,473.0,DBDDDCEBEEEEADBEBBABBCCDCCDCABACDDABCDDBBDDCB,BEDBAEBEABCEEDBDDCABDABDECEAEEBAEECDEEECBCACB,CEDEDCABBDBEBDDEBEAEECEACDDEBEEAEAEBBDBDDBACE,CCDDCCBCDDBCCDDDDADDDBCDDBDBADDBCEAEDDECCECEC,0,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,120.0,180.0,120.0,100.0,120.0,640.0,C,D,C,B,4,B,A,B,C,B,B,B,A,A,A,B,A,A,B,A,A,E,A,A,B
210055704045,2022,4,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,B,F,A,3,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
210056630773,2022,3,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1086.0,1055.0,1065.0,1076.0,512.4,487.6,431.5,462.1,BBEDCDCABAECCABDBDECBADACEBACBCEACBCDEBADADEB,BEABCAAEABADECADEDABACABBACCAECDBDCCBEDBAADDA,CECADBCBCBCEDABCEDEDBADECDEDEAAACDBEEAADDDECE,ACEDDBCECBACADBBDCAECBDCCAECABCADAEBDCBEACEBD,1,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,80.0,120.0,120.0,120.0,60.0,500.0,B,E,C,C,3,B,A,B,B,A,B,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210055631526,2022,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1088.0,1058.0,1067.0,1077.0,437.5,547.1,560.3,662.3,CDCCBEBCDEEBCBABCBAABABABCBCBCEBCBDCACBDDAEAC,CBD.AEAEDECACDDAAEABDCDCEC*AAEBBEEDDEBBCBEDAC,DDBEDCABBDBDBCEBABAACDACAAEADEEBAACBDAACDECBC,CEBBEACACADCBCADDBCEABEAEDCABCEBCAABEADCAECAC,0,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,140.0,180.0,140.0,160.0,140.0,760.0,B,C,B,C,4,D,A,B,D,A,A,B,B,A,A,B,A,A,B,A,A,E,A,A,B
210055395722,2022,3,M,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1088.0,1058.0,1067.0,1077.0,524.9,624.5,552.1,628.4,CDCCDBDBDAABCCDDBDACBDACBEBABAABDCECBCCCDACBA,ABDAAABBDDCBEADAAEABCBDCECEDACBAEBEDEABCBEAEC,AACEACAAAABEBACBBEEEBCBADECDCCEAAACBADBBDBBCC,BCBAAEDDCACCBECCDBCEBCDADCCBDCEDEACBCBDABECAC,1,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,120.0,40.0,40.0,140.0,40.0,380.0,A,C,A,B,3,D,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,D,A,C,B
210057389199,2022,5,F,1,3,1,2,0,2,,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1087.0,1056.0,1066.0,1078.0,487.0,379.1,371.4,376.1,EDDEEADACBEABECECCCCBBCBAEACABACCBBBECCABECBE,CDBEADEAAACEEEDAEEBBAECBAEBABEEABBCEAAEEEEECC,CCBBDEDEBBDECCCEEBEBEEACCBBBAAEABCEEEEEACADAB,ADDCCECCDAADACDCDCCBABBAEBBDBABCBABCCCBAABBBD,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,120.0,120.0,80.0,100.0,100.0,520.0,A,A,C,A,4,A,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A
210055769208,2022,3,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1086.0,1055.0,1065.0,1076.0,416.5,555.1,409.0,387.5,CDEACDACBAACBEBABEEDBECECABBCEBBCCDDEABCCBAAC,CAABBDDACBADEBBEACBBBDDCAECBCEECADCDAAEDBCCAE,BCBDBEDAEEDADDBABBEDCACECDAACEBEBDCDEAAEDDADC,BCCEBCCEDBAEBDECDEBEBCBAACDBDDBAABCABACDDABCB,0,EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB,DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA,DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE,DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC,1.0,60.0,120.0,120.0,80.0,120.0,500.0,A,A,C,A,4,A,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210057204407,2022,2,M,1,2,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1087.0,1056.0,1066.0,1078.0,585.6,594.2,602.0,714.7,ACECDBDEBCBABCCECCECBBBADDDBAEADCCCEDAABBBCEB,EBECBBCDAADCABEBAADEAEACCCECABBDDAEABBBCABADB,DECDBDABCDEEDABAADAAECEEBBDCEBAABDBCCDA.*ECBD,BEEAACADDDBEBBEBAAABEDBCCCCBADDDBCCBDDBAECACD,0,DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA,ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB,DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB,BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD,1.0,140.0,200.0,160.0,200.0,200.0,900.0,F,G,D,D,6,H,B,C,D,B,B,B,B,B,A,A,B,B,C,B,A,D,B,A,B
210057361391,2022,3,M,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1085.0,1057.0,1068.0,1075.0,534.5,623.7,642.7,674.2,ECCAECDCADDBCEAAAADDACBCBCCACCCBBEECACBACECCA,DBBCAEEDD*ACACBCAAADBADDAECACBDECBEBACDDAAEAB,AADCECCCDABDBACBBDAADECBBACECCEBECDACDBEBDBAA,CBDBCACACEACBBCCDCCDEEAEECCADCCABBBAADDDAACBE,1,ADBADABEABCEEEACCBDDADDCBBCCAEBAEBEBEACCCDDDE,CBECABBCDEACDCEDAAADBCDDAECBABAECBEBAEEDADEAB,BDECDAADCECCCDCCEBACBBAAAEECABABEECEBEEDCADBDBDBAA,ECDABEBDCEECDBDCCCCBCXCBAACDBAAACEBABDDEDAEBE,1.0,160.0,200.0,160.0,200.0,200.0,920.0,B,D,B,C,3,C,A,B,C,B,B,B,A,A,A,B,A,A,D,A,A,B,A,B,B
210055570276,2022,3,M,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,1088.0,1058.0,1067.0,1077.0,416.0,499.8,428.6,481.0,BBECACBACAEACDECABCCBBBEEDACECAAEBDCEBCEABDAD,EBCBAAECCECDDADAAAAEABDCBEADADDBEEABACDDBBDBA,DCBDECABDDEDAAADCAEACBEADABDBBBDBACECADCEADED,DEDECDCDBACBBECBDAADDDCBDCABEDDCDADEDCBBEECEE,0,DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD,CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD,CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC,CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE,1.0,120.0,200.0,140.0,140.0,160.0,760.0,D,E,C,B,5,C,A,D,D,A,B,B,A,B,A,B,A,A,B,A,A,C,A,B,B
