NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
190001496890,2019,1,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,504.0,509.0,514.0,516.0,519.6,502.8,561.9,564.6,CBCEECDBACCBEDACBEAECABDDBDBBDABCCABCBBADACBD,ACEDCEDCAACCEDBEBAECBEEBACBAAEADBCDBADEDDAADC,99999CABDABEEBDDEAEBDAADCDEEDECBABBABCCAEECAEEEECC,AEBEBBAADDBAAECCCDCBCADBDCCBEBCACEABABBADABAD,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,140.0,160.0,160.0,160.0,200.0,820.0,E,D,C,B,5,C,A,B,C,A,B,B,A,A,A,A,A,A,B,B,A,D,A,B,B
190001486200,2019,3,M,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,505.0,507.0,511.0,518.0,379.2,422.9,439.9,374.2,ACBDBEBABDAECABBBCCBDAEDEBCCAABCCCAABDABEECED,ADECBAACDECDCADADACCDAEBDBECBAAEDDCACEADBDEEA,99999AEEBDDCACEAABCEAABDECDEBEBDCABECBAEDDBCCBDCCE,ABEDCEBADBEBADBCBEBAACDABCDDBEBDEEBDCEACAECAD,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,180.0,140.0,140.0,120.0,700.0,E,E,C,B,4,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,B,C,A,A,A
190001497060,2019,6,M,1,2,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,506.0,509.0,514.0,517.0,473.4,466.3,498.3,488.5,DDCDAAADEABCBDEBCCBBDCCDBDADBEEACEEDBBBADEEDA,ABBCCCBCEDAAAABAEDCCBEEECBBDCEADBEAECABACDADE,99999ADBBBCECCCEBADBAAADAEEABEBBDCEAEDCCABCCDCCBEA,ACBDBCACCCBACBCCCCDDBDBAAEAEDDBBADCBDCECCBABB,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,180.0,140.0,140.0,140.0,720.0,E,C,B,C,4,B,A,B,C,A,B,B,A,B,A,A,A,B,B,A,A,B,A,A,B
190001500717,2019,4,F,1,3,1,2,0,2,,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,503.0,507.0,511.0,515.0,346.1,486.7,445.7,532.2,EBDDBBADECDEABBACBDABDCEBEDEABAEADEEEADDEBEAC,ECBAAEAAABBCEAEAEBBDCDDEBEBDCABCBAEEAAAADBEBB,99999DBADCCCEADEECCEADAEDDADEABDCCCACABADABDACDDDE,DCEBDADCAEBCDCADDCBADEDBCADECEBCCBADEDEBCDCAE,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,140.0,120.0,160.0,160.0,100.0,680.0,A,B,A,A,2,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
190001508075,2019,2,F,1,2,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,506.0,509.0,514.0,517.0,520.8,538.1,509.7,421.9,CEDDCDAEECDACECBCCDDEABAADCBCDDEBECDCDEEDDDCE,ACECAEBDABCBACBDDCADBEADBEDABCDABDBDCEADCBADE,99999BDDBCDBCBCDEDEEBAAEEDEEDECBBCADDDADCEBDCCDABD,CBBBDDEBCDAADCCCDBCCABEEBCBBADCAEACAACCBABDEE,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,100.0,140.0,100.0,120.0,100.0,560.0,B,B,B,B,6,B,A,B,C,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,B
190001497229,2019,5,F,0,3,1,2,0,2,,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,1,1,0,,508.0,512.0,,,373.3,405.7,,,AAECBDEADEEEBAAAADBDDEABBCBBCBEEEDBEAADEABBCB,99999BBCEAEAACBACCBEEECAECBD.......DBBEAEDEABCBAAD,,1,,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,,1.0,120.0,120.0,120.0,120.0,20.0,500.0,A,A,A,A,3,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
190001497363,2019,3,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,D,E,D,D,3,C,A,C,D,B,A,B,B,B,A,B,A,A,B,B,A,D,A,A,B
190001493688,2019,3,M,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,506.0,509.0,514.0,517.0,489.9,525.2,509.1,562.6,AEDCBBCCECDDCCCBBBDCECEABDABADBAAAEDCBEBCBDED,AECEEEACEEAACDAAEAEEBCAEACBBAAAAADCECBBBCEAEC,ABDAB99999BDBCCCAAABDAADADECDEABAEDDACAAABEEEEAABC,ABBCDBECDDECDEACABCEADEBECBEDEEDDECBECEBEBDBB,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,120.0,120.0,120.0,100.0,580.0,B,E,A,D,6,E,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,E,A,A,B
190001512075,2019,4,F,1,3,2,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,503.0,508.0,512.0,515.0,475.6,484.9,504.5,473.3,ECDBCCBCCACBADEAABCDEBDEBBABCDEEEBCDEEDCBAABC,CBCAECABCAEBDCEADBCABCDEEAEDDACABEABDBCABCDDE,99999BEEABACBCAEBCDCABECDCEEAEBDBDDAACADECBECACEDD,EDCBCBCCABAAEDCAEBDCDEDCABAEDCBAADBCBEDCBABCB,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,120.0,120.0,120.0,120.0,120.0,600.0,H,E,F,C,3,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,A
190001504791,2019,2,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,505.0,510.0,513.0,518.0,488.6,569.5,586.7,549.8,DDECEDBCBBAECDEEDEDEABEBDCBBDBBBBADAAADDCBCBD,CCDEEEDBBDBCABABCCAEBEBACEBBEBCCCEEBDABDCACDE,ADBBC99999CBBCACCAAECEDCDDADECADACECDEDEBAECEDDBDC,DDCCABABBDEBCDBECBABDBEBACCEABBACACBCDBDBCDDC,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,160.0,200.0,180.0,180.0,160.0,880.0,H,E,F,B,2,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,B,B
190001511994,2019,2,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,503.0,507.0,511.0,515.0,420.1,408.7,520.6,415.0,CECDBBEECCEBCEADCBAADBADDECEABACEBEBCACDDEACE,EDECAAAEDBDBCDCCBEDEBBBCBACDBABADACEEDAABCEED,99999ECCACBDBDEDABEDACDECDBEBDDCCBABDBDAADDCECDCAC,EBCDECBEABCCCBDCBDBCBBDEADCBECCCEADBECDDCBADB,1,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,140.0,200.0,160.0,160.0,120.0,780.0,C,E,A,A,4,A,A,C,D,A,B,B,A,B,A,B,A,A,C,A,A,B,A,B,B
190001379530,2019,2,F,1,3,1,2,0,2,,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,506.0,508.0,512.0,517.0,439.4,466.6,488.5,496.5,DDDDDBADDDCCBDBBACBEEACCDDDBADBECBBEDAEBBDCCA,EBADABBECAAABDDBEDECADECAEDADAECBEEAAABAEEDED,99999BBEDACEBDABCEAECBDCECDEADEAEBAAACEEAEBAEAEDEA,BABDCBEBACEAEEBCABCCDBEDEAACACDCADAABBEBEBDEE,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,160.0,120.0,120.0,120.0,640.0,B,E,D,D,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
190001357472,2019,2,M,1,4,1,2,0,2,,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,505.0,507.0,511.0,518.0,349.6,397.4,476.6,545.6,CBAAEDDBACCEABDBCCBEEDAACEBBCDDCEBBADBCAEECDA,ABECDAABEDCCABAACABEEBAACDEDCBECBDBCEDAABCACE,99999AEDAECCCCEDADEBACEABDEEEEDCDEBADBEEADBDBCCCDD,DEAAABCEBDBCBCAEDBCBCBACDECBEADABAABBECEAEDDE,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,140.0,160.0,140.0,160.0,160.0,760.0,A,E,A,A,4,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
190001353837,2019,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,506.0,509.0,514.0,517.0,400.1,343.2,496.9,499.8,BBCCACCEEEEAACEBECAEEEEDBDDEAEBBCAEAACBEDCCCB,BCCABBEABCCDBCDCBDEAACBCCDBEDDABDBBDEDACBCEAE,99999ECDEDBACDCDEACCDAADDAEEEECDAEBBABCCCCECBBEEEA,ABDAEDDCBBAADEECABBEADECDCACCCBDEEBAECEAABAEE,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,160.0,120.0,140.0,140.0,120.0,680.0,H,E,F,B,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,C,A,A,B
190001357536,2019,3,F,1,1,1,2,0,2,,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,504.0,509.0,514.0,516.0,496.9,474.4,539.9,670.4,ABEACEBAEDBEEDDCACBBABABBEEBBCEBABBEDABEAAEAA,DEAECAEBDEACDBAAEAEDEEECDDBECCEBBDCDEEDEBECDB,99999DEBEABECDCDDDEBDAADBAECDEDEAAEEEDDADDACACCEDE,EAEECECDDBBBAECEADBACECCCBEAACABDCEACECECDCDD,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,120.0,120.0,100.0,580.0,B,C,D,D,5,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,B
190001361208,2019,2,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,505.0,510.0,513.0,518.0,496.9,556.7,571.8,530.8,AABCDDDBDCACCAAAAAAAADDDDDDDDDDDDDDDDABE.DCDD,EEBCBDDBADBDABCAAEADCEBBEBBBBBDDDDDCAAADDAAAA,ADBBD99999ABBCECDACECEDDDDADCCADDDDCDDDDDBBCDDBDCD,DDECAECDDDEDCDDEDDCBAAEBDDBEBDADABDDDCCCCCCEC,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,140.0,140.0,120.0,120.0,120.0,640.0,D,E,A,D,3,D,A,D,D,B,B,B,B,B,A,B,A,B,C,A,A,D,A,B,B
190001339216,2019,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,504.0,510.0,513.0,516.0,476.5,560.6,557.8,462.6,CCDCEEABEADEDCDCABCEBBCEDBACBADBCDECBDCDADEDE,DBACAEABADBDABBDCBAEEAECCCBBEBCCCECEDDDACADCB,99999EDABCAEBADCDACECADCADABEEADDEDCAECEBAEECEDACC,DEACEBCBCDBBABDABCCACBDCEDBCBACBEEACDCEABDEAD,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,160.0,180.0,180.0,180.0,180.0,880.0,E,E,C,D,3,C,A,B,C,A,B,B,B,A,A,B,A,A,B,B,A,B,A,A,B
190001339222,2019,3,M,1,3,1,2,0,2,,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,505.0,510.0,513.0,518.0,415.4,517.7,523.5,591.1,EDDBACAACECBCDCDCDBACDBDEEABDCBDCADBADBDEBAAA,AAACAEDCACDEDBEEBBAECEAAEABEEECACAEBAAAECBEEE,99999ADABCBEBCABCEDECCDBEDAAEEDBDCDCBDBCBBBCEDBCEC,AECBABCCADBBDBADBDCCACEDDCBBABEDABCADBCABBCDE,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,160.0,160.0,160.0,160.0,120.0,760.0,B,C,D,D,5,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
190001342897,2019,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,503.0,508.0,512.0,515.0,563.7,539.7,563.6,551.3,DCECBEDEADAABDBABBDAAEBEAABEEDBBEABABAECDAACC,AADBABBACECEDCAABCEBEDBCAECDACBEBECBCBEAEDCAB,BBADA99999ABEBEECEECCADADBDBECCAEBDACDEBECADCACEBD,DCBEDEBCCBCCBDABBEBACBBECCAEBDBCBEEBEDDABBCAA,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,160.0,180.0,160.0,160.0,160.0,820.0,D,E,C,B,3,C,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,D,A,A,B
190001346544,2019,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,503.0,507.0,511.0,515.0,477.9,527.2,558.2,564.6,AAEEECDACAAECCBADBDABECDEABDBBBEEBBBEABEEDBCC,BAAAAAAACADCECCCEAEDEACABDCEBBCBAECEABBDBACAB,BDABA99999BEBEAEDEDCDAEECCCECADCACCEEBDABDDEEBEEBE,ACEDDDCBABCEAEEADBBCEEEEBCBEBEECEBBBDBECCBBCE,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,140.0,160.0,120.0,160.0,120.0,700.0,B,D,A,C,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
190001368567,2019,3,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,504.0,510.0,513.0,516.0,451.3,434.3,430.6,431.6,EABEDDEDBDBDACDDCDADDCBBBEDBBAECBCCECBDDDEAED,CCEBAEDDECBCDBDBDBDCBCEAEABECAEADAECDBBDDBEDE,BDCEA99999AADEAAECDECDBAADACDCAEABCEBBCABCBBCACACE,DCBCABADDDCEDAEABAEBEADDBABEEADCEAAEEBCBDDEBE,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,9.0,0.0,0.0,0.0,0.0,0.0,0.0,B,B,A,A,6,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A
190001386937,2019,2,M,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,505.0,507.0,511.0,518.0,518.6,512.9,492.2,603.0,BBDBADEBEDBABACEBEDBBACBBAACEBBEDBDCEAEEDDCEE,BEAADCEEABCBEEEECEECDACCEDDCBACBAEACADBDDAEAB,99999BBCEADCABADABBBDDAECCDADAECEEEEEBDCAACDEACCDC,DEABABCACBBBCEADCDECADEDEEAEBAAEAEBBDDDDCBDDC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,160.0,160.0,160.0,160.0,200.0,840.0,E,E,C,F,3,B,A,B,C,A,B,B,A,A,A,B,A,A,B,A,A,B,B,B,B
