NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
200002703837,2020,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,600.0,570.0,579.0,589.0,528.5,628.4,552.5,624.1,DCBDCBCDBBADCBCAEBCCDCCDEEECCEABCADDDACACBAAD,BDBAECCCEACDADADBEEDCAECDCEEACCCACCBACEDCCCAE,ADCED99999DBBCAAACBAAEBDCBAACDEBDAADDAAAACDBAABDCA,BCBCAAECAEABDDCDAEBEACBCB*AECECEBBCDEDCCEBDBA,0,DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD,BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE,AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE,BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA,1.0,160.0,180.0,160.0,120.0,120.0,740.0,E,E,D,D,4.0,A,A,B,C,B,A,B,A,A,A,B,A,A,B,B,A,D,A,A,B
200002285136,2020,2,M,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,600.0,570.0,579.0,589.0,553.9,554.0,588.8,593.2,DAAADBEACCBDEBEAEBCDDCBDACEBDCBECADBDDCACBDAD,DDDADCEADDBBAAAABDDDAAACDCEBAAECEACCABAACCCAE,AACDE99999DBBCABADAADCADDCBAADECDDCDAAEBACCABABAAA,BABCBABACCEADEDBBECACECDABCADEADEACDCBECBADBA,0,DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD,BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE,AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE,BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA,1.0,140.0,120.0,140.0,120.0,120.0,640.0,D,E,B,D,4.0,C,A,B,C,B,A,B,A,A,A,B,A,A,B,B,A,C,A,B,B
200005495265,2020,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,600.0,570.0,579.0,589.0,512.8,581.2,504.8,419.9,AACEDBCCCBCCBBDBEBCDDCEDBACCEECEBDDBBCCAABEED,BDDDECEDEADDEDAEEBADAADCADCACDDCECDEABBBDCDDE,AECCB99999DBCEDDDDBAEEDACDDBEDDACDADDCADDDDBDEBEDD,DBBABDCADAACDECEDDADDEDDCCDCBADEBBDDBCDBDEDCA,0,DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD,BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE,AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE,BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA,1.0,120.0,120.0,120.0,120.0,60.0,540.0,B,E,A,A,4.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
200002805851,2020,3,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,597.0,569.0,580.0,587.0,425.8,375.7,472.7,380.7,AECAEBEABDBECDAABAAEEEBEBECDCEDBDDBAEBBDEDBCE,ADCAEDABBBDBDEDBCABDDCCAEBBACACAAAACAEAAEEBAD,99999DABACEBDBEECCB.EADEEEEBCACBEDDCDECBDDBAADACBD,BCCDCAADBAEDEABAEACAEEDEDCDCBDCCEADBDDEDCBDBD,1,DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX,DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD,DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA,DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC,1.0,120.0,120.0,100.0,100.0,120.0,560.0,B,B,A,A,5.0,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A
200004821620,2020,2,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,600.0,570.0,579.0,589.0,495.1,580.3,578.6,649.3,DCDDCCBACADDD*ACCEEBEADDEEABEBDEACCEEADAABCED,BDDAACBCEDCDBAEAABBDDAECDDAAABDCAECECBEABCEBA,ADCDD99999BBCCEEBDBADAAAECACCDEBDEEDAEBDACCCBBBAEE,DDBEBABABEDBDBACCDCEEBBCCEAAECDDECCDADACADCCB,0,DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD,BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE,AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE,BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA,1.0,160.0,200.0,180.0,200.0,180.0,920.0,E,E,C,B,5.0,F,A,B,D,B,B,B,B,A,A,A,A,A,C,A,A,E,A,B,B
200005591519,2020,2,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,599.0,568.0,578.0,590.0,505.8,560.3,555.3,560.4,BDCCAADACDCCDECAEEBDCCDDAECDBEEADAEDCDAEAAECD,EBDCDCCEEDAEEBDCDDCBBEBDCECDDDDADEBBAAAABDEDA,CACAD99999BEBDEADBCAEBCBEEAABBDDADBEDBAECECEBDEBBB,CEEAABCDAECAACBCDAAEDAECEECACBEBDDCCBEACDEAEB,0,CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB,BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE,CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE,CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB,1.0,120.0,120.0,120.0,80.0,80.0,520.0,E,E,B,C,3.0,C,A,B,C,A,C,C,B,A,A,B,A,A,B,B,A,D,A,A,B
200003975381,2020,3,M,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,599.0,568.0,578.0,590.0,508.4,518.5,543.3,713.0,ACDACCCCEACDAEAAEBABACADEAAEABDCDBBDBBCEAACEE,AEECAACDDDAADBDBAACDBAACBABEDDDEAABEBAAECCCCA,ACBAA99999ACBDEADBAAAEBEAEDCAAABCDBDCBAADCACEDEBBA,CABAABCBCBDACCEEBABCABECEEDBACADCCEEBEEBBDADC,0,CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB,BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE,CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE,CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB,1.0,120.0,160.0,120.0,120.0,160.0,680.0,C,C,A,A,6.0,E,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,D,A,A,B
200006228385,2020,4,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,A,A,A,5.0,A,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A
200004720346,2020,3,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,598.0,567.0,577.0,588.0,406.5,377.0,393.7,331.0,BACAADABBCDDEDCDBADBBDCBCBBAABEDACCDCABACCEDE,DBAADDBBACEBACCACABAABCBCEDBAACCBADADCEBDBEEA,99999DEBDBADDBCEBDBABBA.ABDCBDDDEBAECDAEECCAADBCEA,EBECBECAECAAABCDBCCCBABEEDDAABDEDDDBDECCEDCCE,1,CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC,DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD,AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB,AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC,1.0,100.0,40.0,40.0,80.0,40.0,300.0,C,C,F,C,3.0,C,A,B,C,B,B,B,A,A,A,B,A,A,C,A,A,D,A,A,B
200006757648,2020,3,F,1,2,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,597.0,569.0,580.0,587.0,519.2,490.1,418.5,512.6,EDEEECDBCDCECEDDCCABBBDCBCCBCCACCBAEECDBADBCD,CDBEBAEBCEDABCCCCEAACCACAAAACCDDADDDCAACEECCA,CCDAA99999DAAABAAECBABCBDECBAABEACBEBCAAACDBACACBD,BAEDCDACCCCBDCDBCDDBDBAECCCABBCBCDBEDCBAEBCCE,0,DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX,DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD,DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA,DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC,1.0,160.0,180.0,160.0,160.0,180.0,840.0,D,D,C,A,5.0,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,B
200001409518,2020,4,M,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,600.0,570.0,579.0,589.0,528.7,574.2,539.7,634.9,DCAADACDEDEEAECECBCADCCAEBCDCBACEACADCCABBDDD,BEDDBCBBEDCDADAECCCDDABCDECDABCEBDCBDBEABAAAE,EDCAE99999DAECAEADAEDEAACCDCADEDACCDCEEDABCBCEBDAC,DDBCBCBADCEADBADCCCBAEDCBDAEBCCDADCDCACCABDAA,0,DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD,BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE,AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE,BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA,1.0,100.0,140.0,100.0,160.0,160.0,660.0,E,E,C,B,7.0,A,A,B,B,B,A,B,A,B,A,A,A,A,B,A,B,C,A,A,B
200002627871,2020,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,597.0,569.0,580.0,587.0,419.2,481.3,508.3,530.6,BDBEACAEBDDECBCCEAEBCBCDBEADCCAEDADBEBDABDACD,BDABCDBEBAACDECEDBADDEDCACABEEADADDEBCACABDBE,99999ACDBDCBCABABEBACADBCEAEABCAEDEEDDCBDEACDACCAE,BACCDBEBBDAECEACCDBBDEBACDADCBAEBEAECDCDBDABD,1,DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX,DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD,DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA,DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC,1.0,140.0,180.0,180.0,160.0,200.0,860.0,D,E,C,B,4.0,C,A,C,D,A,B,B,A,A,A,B,A,A,B,B,A,D,A,B,B
