NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210053575167,2021,3,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,B,C,B,6.0,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
210051213091,2021,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,909.0,881.0,892.0,899.0,487.1,528.2,485.7,576.3,CDCCEDCEADCAAABCAAAABCEBCDCCDBECDADDDCDBCADCB,CBEBAACEEAEBEAEAABAADAEDBCBDBDAAAEECADABDBBDD,99999BAACAEBADCDDDBBBCECDCBABDDCEEEDEDBAEBDBAAACDE,EAEEBBCBCDCCCDAABBCBAEDAEBACBECCEACBDDADCAEDB,1,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,160.0,200.0,180.0,200.0,200.0,940.0,E,E,B,B,3.0,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,B,A,A,A
210052860806,2021,2,M,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,1,1,0,,882.0,891.0,,,0.0,423.7,,,.............................................,99999DEACBDCBEDDBBA.BC.A.C.D....D..D.AE..D........,,1,,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,B,E,B,B,3.0,A,A,B,C,A,B,B,A,A,A,B,A,A,B,B,A,D,A,A,B
210053393209,2021,2,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,911.0,880.0,890.0,902.0,607.9,631.0,547.4,672.3,CDCDBAABCEEEEEDCCADBBDBACBCABCBDCCAAACDBBCCCA,DBBAAABEBBBBEEEEAADCABBBACAEABADBEBBABDBCBEEC,99999CAADDDEEACBCABABBEBAADDAAEADAEADDAAEBADCAAEBB,DCCCABDDDBDDDCEDEBDAEAEBACBBBDBCCAEACEBABEDDA,1,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,160.0,200.0,180.0,200.0,200.0,940.0,D,E,A,A,3.0,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,B
210051623953,2021,4,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,1.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,910.0,879.0,889.0,900.0,363.6,400.4,485.3,529.2,BECADCEECCCBDDABDBEDCDCCEADCCDBEDEDDDCDDEEBDD,BABEDCBDDECBAAABCCEDBBABCAEBDDADCCCCBCCACBDDC,99999DCEAACBDBCADEDDACBEDEBCEEDEDACADCBDDAAADBADED,DCEBECDCBEACCEEBBEADCBAECAECEEEAACEBDBEDEEECA,1,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,100.0,120.0,120.0,140.0,140.0,620.0,B,E,C,B,4.0,B,C,B,C,A,B,B,B,A,A,A,A,A,B,A,A,B,A,A,B
210053737594,2021,1,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,911.0,880.0,890.0,902.0,522.6,577.5,567.0,634.2,CBACBCDBECBADCAAECDADEDACAACACDDBCAAADACCEDDA,ABEBCEBEBEABBECEDABCACBAACCABDACDABEDBDBBBAEC,AAEBA99999CCCDCDBAECBBEEEDDDACEDDABBDDACEEBDBBDDDB,DCCCBCBABDBDBCDDDACEDAEEEDBEDBADBAEAEEBECECDB,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,160.0,200.0,160.0,160.0,200.0,880.0,H,E,C,D,5.0,G,A,B,C,B,C,B,B,A,A,B,A,A,B,A,A,D,A,B,B
210052983907,2021,2,F,1,1,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,909.0,881.0,892.0,899.0,507.2,516.4,546.1,543.1,AEDBCBEAABECACDAEBCCAEDEDBEEECCCDBAECCBDDACBE,ACECCAEBDCABECDADCEAACBBDCAEEAECABDCBBAECEAAB,99999AAACACDBBAACEDBDDCDCCEBABCBCAEDADEAABCBEDAEBE,CEBECADDCBBAAECAECBBDDABCDCDEBABBEDCDDCAADECA,1,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,160.0,200.0,200.0,160.0,200.0,920.0,H,E,F,B,2.0,B,A,C,C,A,A,B,A,A,A,A,A,A,A,A,A,C,A,A,B
210053859963,2021,3,F,3,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,912.0,882.0,891.0,901.0,377.7,449.2,489.6,543.1,BDAACDBCDADBDDBDCBADCDBDDBCAACBBCACBDCECAACBC,DACEEBBDAABBDBDBCEABAABDCDDBDDECEEBADADBCAECB,ABDBA99999DBBEBCBDBDBBEBDADEACDEDCCADABCBCDAACBBCD,CCEAEABCBCDCDEAAAAEECCADCDEADDEACBADBBBBC.DAA,0,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,120.0,120.0,120.0,120.0,100.0,580.0,C,E,A,F,3.0,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,D,A,A,B
210052905902,2021,3,F,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,2.0,1.0,2601706,Belo Jardim,26,PE,1,1,1,1,909.0,881.0,892.0,899.0,433.0,488.7,385.9,381.6,BCBBEDDEDCACDDEBEDACDECCEABDEEACECEADEADBAEEC,DBBECAACBECADAAADEEAABEDEDBDCBACAEBDABACDDBBA,99999ABACBAEDCCDEBACCBAAEDAEEBCDCEADABEBCBEBAEBEAA,DBDADCBEECDAADEAEDBABBECBDBAACBEBABDCDCDCBEAC,1,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,160.0,120.0,120.0,180.0,120.0,700.0,B,C,B,B,3.0,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,B
210051358405,2021,4,M,1,3,1,2,0,2,1.0,0,2601706.0,Belo Jardim,26.0,PE,2.0,1.0,1.0,2601706,Belo Jardim,26,PE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,B,B,A,A,5.0,B,A,B,D,A,B,B,B,A,A,A,A,A,B,B,A,C,A,A,B
